,JobDescription,JobDetails_CompanyIndustry,JobDetails_CompanyType,JobDetails_EmploymentType,JobDetails_JobLocation,JobDetails_JobRole,JobDetails_MonthlySalaryRange,JobDetails_NumberofVacancies,PreferredCandidate_CareerLevel,PreferredCandidate_ResidenceLocation,Skills,meta_Company,meta_Date,meta_Location,meta_Title,meta_link
0,مهندس اتصالات وشبكات\nإدارة ومراقبة العمل\nكتابة التقارير والوثائق\nالاتصال بالموردين والعملاء,Telecommunications,Employer (Private Sector),Full Time Employee,"Riyadh, Saudi Arabia",Engineering,Unspecified,8,Fresh Graduate,Saudi Arabia,1- القدرة على تحمل ضغط العمل\n2- مهارات العمل الجماعي\n3- المهارات التحليلية وحل المشكلات\n4- اجادة استخدام الحاسب الآلي وبرامج الأوفيس,شركة علوم الشبكة للإتصالات السلكية (WiConnect),Date Posted: Nov 17,"Riyadh, Saudi Arabia",مهندس اتصالات,/en/saudi-arabia/jobs/%D9%85%D9%87%D9%86%D8%AF%D8%B3-%D8%A7%D8%AA%D8%B5%D8%A7%D9%84%D8%A7%D8%AA-4444754/
1,مطور تطبيقات موبايل بإستخدام Flutter، يجيد العمل ضمن الفريق ويملك حس ورغبة عالية في تطوير منتجات ذات كفاءة عالية.,Internet & E-commerce; Computer Hardware & High-Tech Manufacture; Motor Vehicle Passenger Transport,Unspecified,Full Time Employee,"Riyadh, Saudi Arabia",Information Technology,"$1,500 - $2,000",1,Mid Career,"Riyadh, Saudi Arabia",إعداد ورسم خرائط العمل لتوضيح مراحل التطوير للبرنامج\nكتابة الأكواد اللازمة لبناء البرنامج\nاختبار عمل البرنامج واكتشاف الأخطاء\nحل المشاكل والأكواد الخاطئة بالبرنامج\nالاستمرار في تقديم الدعم والتطوير المستمر\nتوفير الحماية والتامين اللازم للبيانات\nالإطلاع والتحديث المستمر لأساليب وطرق البرمجة\nتقديم التدريبات اللازمة وشرح طرق استخدام البرنامج,Confidential Company,Date Posted: Nov 23,"Riyadh, Saudi Arabia",مطور تطبيقات Flutter,/en/saudi-arabia/jobs/%D9%85%D8%B7%D9%88%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D8%A7%D8%AA-flutter-4456819/
2,«مندوبة مبيعات» وظيفة بدون راتب ..( بعوائد مجزية)\nالمسمى الوظيفي : مندوبة مبيعات\nالنشاط : الأثاث المكتبي والمنزلي للشركات والمشاريع والأفراد.\n(التسويق لكافّة المنتجات والخدمات التي تُقدّمها المؤسسات أو الشركات الخاصه بنا ، وذلك عن طريق إجراء زياراتٍ ميدانيّةٍ دوريّةٍ مستمرة لكافة المستهلكين لهذه المنتجات والخدمات، تطبيقاً للخطط التي يعدّها كلٌّ من مدير المبيعات ومساعديه بناءً على الخطّة الاستراتيجيّة الشاملة للمنظّمات؛ سوف يكون هناك خطوط سيرٍ معيّنةٍ لكافة العملاء المعتمدين، مع وجود خططٍ لاستقطاب وجذب الزبائن الجدد والاستحواذ عليهم من السوق),Home & Office Furniture,Employer (Private Sector),Part Time Employee,"Jeddah , Saudi Arabia",Sales,$0 - $500,2,Mid Career,,القدرة على الترويج والتسويق والإقناع بأنّ منتجات شركته هي الأفضل على الإطلاق.\nامتلاك مهاراتٍ عاليةٍ جداً في الاتصال والتواصل مع الآخرين.\nامتلاك ابتسامةٍ دائمةٍ، بغضّ النظر عن ظروف المندوب النفسيّة.\nأنّ يكون متحدثاً من الدرجة الأولى.\nاللّباقة في التعامل مع الآخرين\n القدرة على الإصغاء، والمُرونة في التعامل مع المشكلات، وحشد الجهود نحو حلّها بالأسلوب الأمثل.,مؤسسة الشروق العصرية للتجارة,Date Posted: Nov 25,"Jeddah , Saudi Arabia",مندوب مبيعات,/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4457409/
3,- تحليل النظم وقواعد البيانات القائمة في الشركة\n- المناقشة مع الأقسام داخل الشركة لمعرفة ما يمكن إجراءه من تحسينات في نظم الشركة الداخلية\n- عرض مقترح في بناء أو تحديث نظم وقواعد الشركة مع بيان التكاليف اللازمة وكذلك العائد المنتظر من التحديث الجديد\n- تجهيز العتاد وبناء النظم والبرمجيات بعد موافقة الشركة وإجراء الاختبارات اللازمة للتأكد من أن النظم وقواعد البيانات الجديدة تعمل بالشكل السليم\n- تدريب طاقم العمل الحالي للشركة على النظم والبرمجيات الجديدة,Other Business Support Services,Employer (Private Sector),--,Saudi Arabia,Information Technology,Unspecified,3,Entry Level,,-\nادارة الوقت\n- ادارة ورش العمل والاجتماعات\n-\nادارة التغيير\n-\nالعروض التقديمية\n-\nقواعد البيانات\n-\nبناء التقارير والنماذج\n-\nلغات البرمجة\n-\nالتخطيط الاستراتيجي\n-\nاليات بناء الاستبيانات,Business Managment Company BMC,Date Posted: Nov 24,Saudi Arabia,محلل نظم,/en/saudi-arabia/jobs/%D9%85%D8%AD%D9%84%D9%84-%D9%86%D8%B8%D9%85-4457530/
4,مراجعة الخرائط التنفيذية للاعمال المسندة والمطلوب تنفيذها ثانيا عمل معاينات عديدة ومتعددة لبيان حدود موقعه.\nثالثا التخطيط الجيد وتقسيم العمل بالموقع رابعا تحديد أماكن التشوينات للمعدات والخامات واماكن الاداريين بالموقع مع مراعاة تطبيق معايير السلامة والصحة المهنية خامسا اختيار فريق العمل والمعاونيين بكل عناية ودقة سادسا وضع البرنامج الزمنى لانجاز الاعمال مع مراعاة تطبيق المواصفات المعمول بها بكل دقة وكذلك عامل الوقت سابعا تحديد القواعد والاسس التى يتم استلام الاعمال بها ثامنا التنسيق مع جهات الاختصاص وتحديد ميعاد بدء وانتهاء الاعمال تاسعا التأكيدعلى مراجعة مستندات القياس أولا بأول قبل الاعتماد    عاشرا التأكد من تسليم مستندات القياس أولابأول حادى عشر تذليل أية عقبات تعوق تنفيذ الاعمال ثانى عشر تسليم الاعمال الى جهات الاختصاص ثالث عشر التأكد من صحة مستخلص الاعمال النهائى من خلال الحصر اليومى للاعمال والخامات  ,Facilities & Property Management; Technical Maintenance & Repair; Manufacturing,Employer (Private Sector),Full Time Employee,"Albaha, Saudi Arabia",Engineering,Unspecified,1,Management,,مراجعة الخرائط التنفيذية للاعمال المسندة والمطلوب تنفيذها ثانيا عمل معاينات عديدة ومتعددة لبيان حدود موقعه.\nثالثا التخطيط الجيد وتقسيم العمل بالموقع رابعا تحديد أماكن التشوينات للمعدات والخامات واماكن الاداريين بالموقع مع مراعاة تطبيق معايير السلامة والصحة المهنية خامسا اختيار فريق العمل والمعاونيين بكل عناية ودقة سادسا وضع البرنامج الزمنى لانجاز الاعمال مع مراعاة تطبيق المواصفات المعمول بها بكل دقة وكذلك عامل الوقت سابعا تحديد القواعد والاسس التى يتم استلام الاعمال بها ثامنا التنسيق مع جهات الاختصاص وتحديد ميعاد بدء وانتهاء الاعمال تاسعا التأكيدعلى مراجعة مستندات القياس أولا بأول قبل الاعتماد    عاشرا التأكد من تسليم مستندات القياس أولابأول حادى عشر تذليل أية عقبات تعوق تنفيذ الاعمال ثانى عشر تسليم الاعمال الى جهات الاختصاص ثالث عشر التأكد من صحة مستخلص الاعمال النهائى من خلال الحصر اليومى للاعمال والخامات  ,Al Faris Group / مجموعة الفارس التجارية,Date Posted: Oct 27,"Albaha, Saudi Arabia",مهندس موقع,/en/saudi-arabia/jobs/%D9%85%D9%87%D9%86%D8%AF%D8%B3-%D9%85%D9%88%D9%82%D8%B9-4443927/
5,عندك خبرة بتصميم المطابخ؟\nتصاميمك دائماً مبهرة؟\nأو ودك تصمم وتعرف أكثر بمجال المطابخ!\nعندنا مكان لك...\nراح تشتغل بشكل مستقل ويكون لك عمولة لكل مطبخ تصممه وتبيعه\nاحنا وحدة من أكبر شركات المطابخ بالخليج\nقدّم هنا وكون واحد منا!\nتتواجد الشواغر في كل من:\nRiyadh\nJeddah\nDammam\nMadinah\nKhamis Mushait\nQaseem\nTabuk\nHail\nMecca\nKhobar\nAltaif\nHofof\nAbha,Retail & Wholesale,Unspecified,Unspecified,Saudi Arabia,"Design, Creative, and Arts",Unspecified,Unspecified,Mid Career,Saudi Arabia,يفضل خبرة في مجال المطابخ\nخبرة في العمل على الأوتوكاد,Confidential Company,Date Posted: Nov 24,Saudi Arabia,مصمم - Kitchen Designer (AutoCAD),/en/saudi-arabia/jobs/%D9%85%D8%B5%D9%85%D9%85-kitchen-designer-autocad-4448708/
6,محل عطور مطلوب موظفه مبيعات بحي الربوه الرياض\nالدوام من 4 العصر الى 11\nسعودية الجنسيه\nالعمر من 20 الى 30 سنه\nعدم الالتزام بعمل اخر\nحسن السيره والسلوك\nالراتب 4000,Perfume & Cosmetics,Employer (Private Sector),Full Time Employee,"Ar Rabwah, Riyadh , Saudi Arabia",Sales,"$2,000 - $3,000",3,Fresh Graduate,Saudi Arabia,فن التسويق\nتحمل ضغوط العمل وسرعه الانجاز\nالقدره على الاقناع\nالمحافظه على الممتلكات الخاصه والعامه\nاستخدام الحاسب الالي,SAMAR PERFUMES,Date Posted: Nov 24,"Ar Rabwah, Riyadh, Saudi Arabia",موظفه مبيعات,/en/saudi-arabia/jobs/%D9%85%D9%88%D8%B8%D9%81%D9%87-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4456552/
7,مطلوب محامي او محاميه لعمل في شركة في خميس مشيط بدوام كامل او جزئي خبرة في الشوون القانوينة اكثر من 5 سنوات .,Retail & Wholesale,Employer (Private Sector),Full Time Employee,"Abha, Saudi Arabia",Legal,Unspecified,1,Mid Career,,مهارات موظف الشئون القانونية\nتواصل كتابي وشفهي ممتاز.\nمهارات قيادية استثنائية.\nمعرفة جميع القوانين والقواعد واللوائح المعمول بها.\nالاهتمام الشديد بالتفاصيل.\nمهارات تفاوض قوية.\nالقدرة على إعداد الوثائق القانونية المعقدة.,الليث العربي,Date Posted: Nov 24,"Abha, Saudi Arabia",محامي ه,/en/saudi-arabia/jobs/%D9%85%D8%AD%D8%A7%D9%85%D9%8A-%D9%87-4456559/
8,"الحرص على توفير المعلومات المالية وتفسيرها.\nمتابعة كافة التغيرات الخاصة بالتشريعات واللوائح المالية.\nرصد كافة التدفقات النقدية والمساهمة بتوقع الاتجاهات المستقبلية وتحليل التغييرات وتقديم المشورة.\nمتابعة الفرص المناسبة لتقليل التكاليف الماليّة.\nالاهتمام بإدارة النُظُم الخاصة بالمحاسبة الماليّة.\nإعداد خُطط العملية الاستراتيجية ذات الأجل الطويل.\nالإبلاغ عن المؤثرات المؤثرة في طبيعة أداء العمل.\nالاهتمام بدراسة اتجاهات السوق وتحليل المنشآت المنافسة.\nالحرص على تطوير وتحسين الآليات المُطبقة بالإدارة الماليّة؛ ممّا يساهم بتقليل المخاطر.\nالتواصل مع كافة مدققي الحسابات؛ بهدف رصد الوضع المالي السنوي للمؤسسة.\nEnsure the provision and interpretation of financial information.\nFollow up on all changes related to legislation and financial regulations.\nMonitor all cash flows, contribute to forecasting future trends, analyze changes and provide advice.\nPursue appropriate opportunities to reduce financial costs.\nInterest in managing financial accounting systems.\nPreparing long-term strategic operation plans.\nReport the influences affecting the nature of work performance.\nInterest in studying market trends and analyzing competing establishments.\nEnsure the development and improvement of the mechanisms applied in the financial management; This contributes to reducing risks\nCommunicate with all auditors; In order to monitor the annual financial position of the institution.",Administration Support Services,Unspecified,Unspecified,"Abha, Saudi Arabia",Accounting and Auditing,Unspecified,Unspecified,Management,Saudi Arabia,القدرة على التفكير الناقد والتحليلي.\nاجادة عملية التواصل بشكل شفهي أو مكتوب.\nامتلاك المهارات المتقدمة بالمعاملات الرياضية.\nالقدرة على التنبؤ بالنتائج الشهرية والفصلية والسنوية.\nالمعرفة الجيدة بكل ما يتعلق بعملية اعتماد أو رفض الميزانيات\nThe ability to think critically and analytically.\nAble to communicate orally or in writing.\nPossess advanced skills in mathematical transactions.\nGood knowledge of everything related to the process of approving or rejecting budget,Confidential Company,Date Posted: Oct 26,"Abha, Saudi Arabia",مدير مالي/ Financial Manager,/en/saudi-arabia/jobs/%D9%85%D8%AF%D9%8A%D8%B1-%D9%85%D8%A7%D9%84%D9%8A-financial-manager-4421519/
9, العمل في مقر الشركة، السعودية – الرياض – حي المربع \nالمهام الرئيسية:\n- العمل على تحديث استراتيجيات وسياسات قسم الموارد البشرية\n- تخطيط ورسم الهيكل التنظيمي للشركة وتحديد خطوط السلطة والمسؤولية\n- تأسيس وضبط مسار عملية التوظيف في الشركة ومتابعة خطة الشواغر وإجراء مقابلات واختبارات العمل.\n- مراقبة البيئة الصحية والسلامة العامة في مقر الشركة وكافة المباني التابعة لها\n- متابعة دوام الموظفين بما في ذلك الإجازات والمغادرات\n- إجراء عملية تحليل مستمر للمزايا ومحاولة تحقيق الأفضل للعاملين\n- إيجاد نظام متوازن يتم عبره اتخاذ إجراءات تحفيزية وأخرى توجيهية للموظفين\n- صياغة مدونة أخلاق وسلوك المهنة وضبط عملية الإلتزام بها\n- صياغة عقود العمل ومتابعتها بالتنسيق مع إدارة الشؤون القانونية\n- تقديم الدعم الصحي للموظفين عبر تطوير ملف التأمين الصحي. \n- متابعة ملف الشركة لدى مؤسسة التأمينات الإجتماعية\n- العمل على ملف الإقامات من حيث الإصدار والتجديد\n- تأسيس ملفات إلكترونية وسجلات للموظفين\n- إعداد جداول وكشوفات الرواتب والحوافز والاقتطاعات الشهرية\n- ضمان إمتثال الشركة لقوانين العمل وكافة القوانين والأنظمة والتعليمات ذات العلاقة\n- بناء خطة تدريب وتطوير لكافة الأقسام وذلك وفق مصفوفة الاحتياجات التدريبية\n- وضع نظام تقييم لأداء الموظفين وخطط لتطوير وتحسين الأداء، بما في ذلك إرساء مسارات النمو الوظيفي\n- ضبط عمليات الموارد البشرية المختلفة وإيجاد الحلول التقنية لها,"Retail & Wholesale; Catering, Food Service, & Restaurant; Internet & E-commerce",Employer (Private Sector),Full Time Employee,"Al Murabba, Riyadh , Saudi Arabia",Human Resources and Recruitment,Unspecified,1,Mid Career,,المتطلبات والخبرات:\n- خبرة لا تقل عن 3 سنوات في مجال الموارد البشرية وشؤون الموظفين\n- درجة البكالوريوس في تخصص ذو صلة\n- العمل الاحترافي على انظمة الموارد البشرية المختلفة\n- إتقان اللغة الإنجليزية تحدثاً وكتابةً\n- الإلمام بأنظمة وقوانين العمل والتأمينات الصحية والإجتماعية\n- الخبرة في مجال رسم السياسات وتخطيط القوى العاملة\n- قدرات متقدمة على إدارة مقابلات واختبارات العمل,شركة كوادر الجزيرة,Date Posted: Nov 21,"Al Murabba, Riyadh, Saudi Arabia",اخصائي موارد بشرية,/en/saudi-arabia/jobs/%D8%A7%D8%AE%D8%B5%D8%A7%D8%A6%D9%8A-%D9%85%D9%88%D8%A7%D8%B1%D8%AF-%D8%A8%D8%B4%D8%B1%D9%8A%D8%A9-4455787/
